ID	Declustering Potential (DP)	Collision Energy (CE)	Observed mass (Da)	Exact mass (Da)	Accurate mass error (ppm)	Molecular formula	Ionization model	Ret. Time (min)	Precursor ions (Q1)	Product ions (Q3)	Main fragments	Compound name	Identification level	Class	CV_all	CV_PIM	CV_CER	CV_BIG	H2
SlFM0879	40	40				C18H28O9	H+	7.11	406.2	227.1	191.1, 209.1, 226.9, 149.2, 131.0, 145.2 	Tuberonic acid hexoside	putatively annotated	Others	0.79	0.66	0.77	0.79	0.42
SlFM0883	-60	-30					H-	8.5	405.1	243.2	243.2, 199.2, 145.0, 181.2, 183.1, 163.1 	E-3,4,5'-Trihydroxy-3'-glucopyranosylstilbene	putatively annotated	Others	0.48	0.61	0.49	0.46	0.11
SlFM0884	60	20						6.89	407.1	244.9	244.9, 199.0, 153.0, 115.9, 162.0, 210.0 				1.66	1.1	1.44	1.54	0.91
SlFM0885	40	30						6.15	407.1	322.9	322.9, 226.9, 230.0, 245.0, 210.0, 352.9 				1.06	0.69	1.05	1.01	0.76
SlFM0886	40	30						7.4	408.1	162	162.0, 261.9, 115.9, 332.8, 144.0, 260.9 				0.64	0.66	0.63	0.62	0.8
SlFM0888	20	20						6.9	408.1	245.9	245.9, 211.0, 193.0, 147.0, 244.9, 165.0 				1.15	0.75	1.15	0.94	0.82
SlFM0889	40	30	409.1875					5.35	409.1	146	187.9, 146.0, 144.1, 204.9, 118.0, 170.0 				1.01	0.89	0.93	0.91	0.64
SlFM0890	-30	-50				C25H28O5	H-	5.35	407	203	203.0, 159.1, 142.1, 116.0, 186.1, 173.0 	3-Hydroxy-glabrol	putatively annotated	Others	0.83	0.78	0.79	0.75	0.71
SlFM0893	40	30						3	410	115	280.8, 114.9, 159.9, 203.9, 263.8 				3.24	3.22	3.51	3.05	0.51
SlFM0894	30	30						13.6	411.1	155	248.9, 155.0, 206.0, 181.0, 167.0 				1.04	0.86	0.93	1.04	0.9
SlFM0896	60	30					H+	7.75	412.2	184.1	184.0, 393.9, 120.0, 169.4, 273.3, 377.2 	1-Decanoyl-2-hydroxy-sn-glycero-3-phosphocholine	putatively annotated	Others	1.01	0.83	1.06	1	0.7
SlFM0900	40	40	413.1411	413.1415	1.06	C15H20N6O8	H+	6.17	413.1	162.1	162.0, 280.8, 136.0, 163.0, 161.1, 302.8 	Threonyl carbamoyl adenosine	putatively annotated	Nucleic acid derivative	0.53	0.56	0.43	0.49	0.58
SlFM0901	50	40	413.1904				H+	2.52	413	163	162.9, 328.8, 394.8, 160.0, 145.0 	N', N''-Dicaffeoylputrescine	putatively annotated	Polyamine	1.53	2.33	1.7	1.37	0.39
SlFM0902	50	40				C27H43NO2	H+	8.46	414.3	396.2	157.1, 253.1, 396.2, 159.1, 271.0 	Tomatidenol	putatively annotated	glycoalkaloid	3.98	3.1	3.26	4.55	0.91
SlFM0903	60	40						8.47	414.3	396.3	396.0, 157.0, 253.0, 159.0, 275.9, 165.0 				4.05	3.09	3.29	4.68	0.91
SlFM0904	40	10	415.2105					16	415.1	119	119.0, 91.0, 118.2, 107.0, 117.0 				1.1	1.7	0.86	1.09	0.5
SlFM0906	-60	-30						8.53	413.1	267.1	267.1, 165.1, 163.0, 145.1, 249.0, 251.0 				1.63	1.11	1.39	0.82	0.81
SlFM0907	-60	-30						7.89	413.2	267.1	267.1, 249.1, 163.1, 377.1, 145.0 				1.7	0.86	1.85	1.3	0.7
SlFM0911	40	30	416.3514	416.3523		C27H45NO2	H+	10.67	416.3	398.3	204.0, 397.9, 87.9, 136.0, 148.0 	Tomatidine	standard	glycoalkaloid	2.58	2.6	2.42	2.4	0.92
SlFM0912	50	40						6.71	417.1	201	200.9, 195.9, 194.9, 244.9, 152.9 				0.9	1.38	1.07	0.78	0.53
SlFM0914	50	30				C21H21O9	protonated	4.59	417	255	255.0, 254.0, 417.0, 95.0, 237.0, 112.0 	Apigeninidin 5-glucoside	putatively annotated	Flavonoid	1.24	0.79	0.97	1.41	0.89
SlFM0917	40	40						12.3	418.1	93	93.0, 91.0, 107.0, 417.9, 96.9, 135.0 				0.76	0.86	0.72	0.74	0.36
SlFM0919	-50	-30				C21H22O9	H-	9.37	417	255.2	255.1, 211.2, 237.1, 297.1, 293.1, 193.1 	Isoliquiritin	putatively annotated	Others	3.72	1.93	3.93	1.14	0.92
SlFM0920	20	30						12.9	420.1	81	81.0, 79.0, 95.0, 137.0, 97.0, 80.3 				1.31	1.21	0.97	1.3	0.59
SlFM0921	30	50						6.85	420.1	91	91.0, 97.0, 117.0, 172.0, 85.0, 90.3 				0.86	0.65	0.84	0.81	0.48
SlFM0923	40	30	420.2224					7.69	420.1	240.1	240.0, 116.0, 257.9, 272.9, 69.7, 420.0 				1.24	0.68	0.93	1.12	0.83
SlFM0925	20	20	420.1515					2.39	420.1	288.8	288.8, 86.0, 132.0, 270.8, 252.8, 183.0 				0.82	0.67	0.83	0.8	0.56
SlFM0928	30	20				C21H24O9	H+	8.07	421.4	259	258.9, 241.0, 116.0, 258.0, 240.0, 116.9 	E-4,5'-Dihydroxy-3-methoxy-3'-glucopyranosylstilbene	putatively annotated	Others	1.01	0.61	0.69	0.99	0.84
SlFM0929	40	20						1.15	421.1	278.6	278.7, 156.9, 360.7, 272.7, 240.8, 230.8 				0.88	0.89	0.84	0.78	0.19
SlFM0931	20	40	422.2015					5.62	422.1	147	147.1, 189.0, 207.0, 161.1, 143.1, 129.0 				1.35	0.7	0.81	1.16	0.49
SlFM0932	20	20	422.3099					11.8	422.1	229	229.0, 268.9, 350.9, 277.0, 109.0, 369.0 				1.04	0.95	1.07	1.03	0.58
SlFM0937	40	30	423.1969					2.51	423.1	338.9	338.8, 215.9, 136.0, 386.9, 84.0, 368.8 				1.48	1.11	1.36	1.49	0.6
SlFM0938	20	40						9.85	424.1	123	123.0, 423.9, 81.0, 78.9, 159.0, 405.9 				0.71	1.05	0.82	0.62	0.53
SlFM0941	-50	-40						8.63	423.1	173	173.0, 249.1, 111.1, 212.9, 263.0, 405.0 				0.94	0.58	0.81	0.75	0.37
SlFM0944	60	30					H+	9.29	425	263	262.9, 187.9, 120.0, 176.9, 279.8 	Abscisic acid glucose ester (ABA-GE)	putatively annotated	Phytohormone	1.15	1.18	1.22	0.94	0.91
SlFM0948	50	40	427.1578	427.1572	1.4	C16H22N6O8	H+	6.84	427.2	150.2	150.0, 294.8, 149.1, 120.0, 264.8 	(2S,3R)-2-{[{9-[(2R,3R,4S,5R)-3,4-Dihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]-9H-purin-6-yl}(methyl)carbamoyl]amino}-3-hydroxybutanoic acid (non-preferred name)	putatively annotated	Nucleic acid derivative	0.56	0.55	0.5	0.5	0.64
SlFM0949	40	30					H+	2.9	427	177	176.9, 144.9, 168.9, 172.9, 288.7, 200.8 	N', N''-Caffeoyl, feruloylputrescine	putatively annotated	Polyamine	2.42	3.49	2.76	2.24	0.37
SlFM0951	30	40						10.3	427.1	186	162.9, 186.0, 228.9, 158.0, 144.0, 391.9 				0.86	1.3	0.91	0.8	0.42
SlFM0957	40	30	430.1576					2.4	430	152	152.0, 297.8, 136.0, 84.0, 120.9 				2.73	2.23	2.98	2.51	0.58
SlFM0958	50	40	430.2537					7.01	430.1	250	250.0, 268.0, 124.0, 124.9, 81.0 				1.34	0.67	1.02	1.38	0.84
SlFM0959	60	30				C27H43NO3	H+	8.49	430.1	273	164.9, 161.1, 412.0, 129.9, 273.0 	Hydroxytomatidenol	putatively annotated	glycoalkaloid	1.59	0.8	1.25	1.73	0.73
SlFM0960	60	20				C27H43NO3	H+	9.24	430.3	412.1	161.1, 412.1, 273.0, 255.0, 159.1 	Hydroxytomatidenol	putatively annotated	glycoalkaloid	0.85	0.65	0.78	0.78	0.86
SlFM0961	60	30						8.48	430.3	412.2	412.0, 253.0, 157.0, 271.0, 159.0 				1.12	1.14	1.15	1.08	0.72
SlFM0962	-40	-40						8.35	429.1	163.1	163.1, 387.2, 369.2, 161.1, 147.3 				2.17	1.21	1.82	1.68	0.74
SlFM0963	50	10	432.2377					16	432.1	119	119.0, 107.1, 135.0, 118.2, 414.9, 91.1 				1.11	1.8	0.94	1.05	0.28
SlFM0964	60	30				C27H45NO3	H+	7.27	432.1	273.2	414.2, 161.2, 273.1, 255.2, 160.3 	Hydroxytomatidine	putatively annotated	glycoalkaloid	0.84	0.72	0.8	0.84	0.7
SlFM0967	-60	-40				C22H24O9	H-	8.82	431.1	269.2	269.1, 268.0, 284.1, 239.0, 357.1, 283.0 	Heptamethoxyflavone	putatively annotated	Flavonoid	1.18	0.87	1.02	1.2	0.97
SlFM0969	50	20	433.113	433.1129	0.18	C21H20O10	H+	8.78	433.1	271.1	270.8, 214.9, 153.0, 252.9, 224.9, 149.0 	Apigenin 7-O-glucoside	standard	Flavonoid	1.11	0.84	0.96	1.12	0.95
SlFM0970	40	20	433.1126			C21H21O10	H+	8.32	433.1	271.2	270.8, 214.9, 152.9, 164.9, 415.0 	Apigenin 5-O-glucoside	putatively annotated	Flavonoid	1.24	0.83	1.1	1.2	0.88
SlFM0971	40	50						7.47	433	415	415.1, 112.0, 161.1, 256.1, 274.1, 177.0 				0.99	0.71	0.98	0.87	0.64
SlFM0973	40	40						7.69	434.1	97.1	96.9, 84.9, 200.9, 240.9, 126.9 				1.06	0.98	1.47	0.89	0.8
SlFM0974	-60	-40						8.82	432.1	114	114.0, 270.1, 285.0, 414.2, 284.1, 269.0 				1.12	0.73	0.73	0.98	0.88
SlFM0975	10	40						13.5	434.1	123	123.0, 109.0, 81.0, 96.9, 151.0, 158.9 				0.8	0.73	0.87	0.77	0.47
SlFM0976	30	20						8.78	434.1	271.9	271.8, 152.9, 164.9, 286.9, 270.8, 272.8 				0.92	0.52	0.65	0.91	0.77
SlFM0978	-40	-30						7.09	433.1	97	97				0.98	1.3	1.08	0.9	0.28
SlFM0981	40	50	435.1278	435.1286	1.77	C21H22O10	H+	9.14	435.1	273.1	272.8, 152.9, 164.9, 147.0, 284.8 	Naringenin 7-O-glucoside	standard	Flavonoid	1.69	1.21	1.35	1.47	0.97
SlFM0982	40	20				C21H22O10	H+	7.68	435.1	285.1	285.1	Naringenin C-hexoside	putatively annotated	Flavonoid	0.92	0.82	0.85	0.81	0.8
SlFM0984	-40	-30						8.63	433.1	313.1	313.1				1.86	1.3	1.14	1.51	0.9
SlFM0985	40	30						11.4	435.1	390.8	390.8, 272.9, 147.1, 153.0, 278.3, 371.0 				1.69	1.29	1.83	1.29	0.84
SlFM0987	30	40	436.2122					9.73	436.1	107	107.0, 93.0, 135.0, 91.0, 97.0, 104.9 				0.97	2	1.13	0.84	0.56
SlFM0990	40	20	436.1323					9.73	436.1	273.8	273.8, 153.0, 272.9, 154.0, 147.1, 148.1 				1.4	1.33	1.08	1.32	0.97
SlFM0991	40	50						9.88	437.1	107	107.0, 436.9, 108.0, 93.0, 135.0, 91.0 				3.14	1.29	1.24	3.58	0.72
SlFM0994	40	30	439.2149					11	439.1	133	133.0, 191.0, 137.0, 173.0, 107.0, 276.9 				0.63	1.06	0.67	0.56	0.39
SlFM0995	40	20						11	439.1	191	133.0, 191.0, 137.0, 173.0, 107.0 				0.61	1.08	0.67	0.54	0.37
SlFM1000	30	40					H+	9.06	441	163	162.9, 192.9, 310.8, 422.9, 260.9 	N', N''-Feruloyl,caffeoylcadaverine	putatively annotated	Polyamine	1.29	1.7	1.52	1.12	0.86
SlFM1001	40	20						7.52	441.1	278.9	278.8, 91.0, 356.9, 176.0, 199.0, 153.0 				1.6	1.19	1.88	1.46	0.88
SlFM1002	40	20						4.6	442.1	115	120.0, 114.9, 166.0, 87.0, 216.9 				1.2	1.1	1.2	1.19	0.54
SlFM1003	60	40						7.68	442.1	261.9	262.0, 378.8, 276.8, 234.9, 280.0 				0.88	0.68	0.66	0.99	0.83
SlFM1007	-40	-30						1.1	441.1	201.1	201.1, 157.0, 343.0, 299.0, 202.5, 217.1 				0.88	0.96	0.86	0.78	0.19
SlFM1009	30	20						5.92	444.1	144	144.0, 84.0, 202.9, 152.0, 214.9 				1.68	1.13	1.18	1.68	0.83
SlFM1010	-40	-30						1.05	443.1	301	301.0, 158.9, 201.0, 202.9, 157.0, 259.0 				0.95	0.99	0.93	0.81	0.17
SlFM1011	40	30						5.61	446.1	163	170.9, 164.9, 136.9, 163.0, 196.9 				1.17	2.05	1.3	1.05	0.72
SlFM1012	20	20	446.1796					8.24	446.1	283.8	147.0, 283.9, 428.0, 121.0, 146.1 				1.2	1	1.09	1.24	0.77
SlFM1015	40	30				C22H22O10	H+	4.47	447.2	285	120.0, 121.0, 267.0, 284.9, 166.0, 447.0 	Biochanin A 7-O-glucoside	putatively annotated	Flavonoid	1.04	0.66	0.84	1.14	0.83
SlFM1020	40	40				C21H20O11	H+	8.51	449.1	287.1	286.8, 153.0, 165.0, 213.0, 257.9, 241.0 	Kaempferol 3-O-glucoside	putatively annotated	Flavonoid	0.95	1.15	0.76	0.79	0.71
SlFM1021	40	40	449.1087	449.1078	1.92	C21H20O11	H+	8.51	449.2	287.1	286.9, 430.9, 152.0, 268.9, 148.0 	Luteolin 7-O-glucoside	standard	Flavonoid	0.91	1	0.84	0.78	0.72
SlFM1024	30	40						6.3	451.1	91	91.0, 92.0, 96.9, 85.0, 90.3, 97.9 				0.82	0.61	0.83	0.78	0.49
SlFM1025	30	40						5.26	451.1	144	144.0, 143.1, 128.9, 84.0, 187.9 				0.91	0.91	0.92	0.87	0.48
SlFM1027	40	50				C21H22O11	H+	8.34	451.4	153	288.8, 153.0, 163.0, 145.0, 179.0, 152.1 	Eriodictyol-7-O-glucoside	putatively annotated	Flavonoid	1.04	0.97	1.04	1.05	0.84
SlFM1031	40	30						7.7	451	235	234.9, 362.9, 200.8, 433.0, 120.0 				1.14	0.66	1.39	1	0.4
SlFM1034	50	50						6.28	452.1	91	91				0.95	0.68	0.96	0.9	0.83
SlFM1035	40	30						11.9	452	95	95				1.09	1.33	1.17	1.03	0.47
SlFM1037	20	50						9.73	452.1	133	169.0, 187.0, 151.0, 133.0, 91.0, 105.0 				0.79	0.9	0.77	0.77	0.43
SlFM1039	-40	-30						8.43	451.2	58.9	58.9				0.72	0.7	0.61	0.69	0.74
SlFM1045	40	30	453.3429					7.99	453.1	209.1	209.2, 113.9, 228.2, 444.3, 322.2, 227.2 				0.48	0.31	0.54	0.45	0.39
SlFM1061	-20	-30					H-	6.54	455.1	97	97.0,, 293.1, 95.2, 96.2, 195.1 	Riboflavin-5'-monophosphate	putatively annotated	Vitamin derivative	1.14	1.49	1.23	1.02	0.42
SlFM1062	40	40	457.2106					10.9	457.1	191	191.0, 151.1, 173.1, 109.0, 149.1, 209.0 				0.85	1.21	0.87	0.8	0.57
SlFM1063	40	40	457.2044					10.5	457.1	209	209.0, 151.1, 165.1, 149.1, 133.0, 137.0 				0.61	0.81	0.65	0.55	0.62
SlFM1065	30	40						10.9	458.1	133	133.0, 134.0, 192.0, 137.0, 191.0, 174.0 				0.59	1.08	0.66	0.52	0.73
SlFM1067	20	20						6.03	458.1	307.8	307.8, 178.9, 161.9, 107.0, 232.9 				1.16	1.55	1.11	1.1	0.81
SlFM1068	50	20						10.5	458.1	310.8	145.0, 310.8, 81.0, 150.9, 96.9 				0.94	0.93	1.06	0.88	0.92
SlFM1072	-40	-30						7.51	457.3	179.1	179.1, 341.1, 135.1, 342.1, 133.0, 178.1 				1.1	1.36	0.96	1.07	0.42
SlFM1073	40	30						7.01	459.1	199	199				0.85	0.64	0.81	0.81	0.8
SlFM1074	50	40						7.23	459.1	207.8	207.9, 182.0, 326.8, 165.0, 185.1 				0.5	0.46	0.45	0.46	0.58
SlFM1076	30	30	460.2696	460.2694	0.53	C26H34O6	NH4+	16	460.4	119	119.0, 107.0, 414.9, 135.0, 91.0 	Rhodomyrtone	putatively annotated	Others	0.9	1.39	0.92	0.84	0.28
SlFM1077	40	40						4.87	460.1	144	144				1.47	2.19	1.46	1.33	0.32
SlFM1083	30	40	462.1386					4.62	462.1	119.9	119.9, 197.9, 194.9, 263.9, 162.0, 299.8 				0.96	0.91	0.94	0.97	0.29
SlFM1084	40	40						10.2	462.1	161.9	296.8, 314.8, 264.9, 162.0, 184.0 				0.92	0.72	0.95	0.89	0.92
SlFM1085	20	30						6.04	462.1	247	264.9, 247.0, 159.2, 173.1, 161.1, 187.1 				0.53	0.42	0.49	0.44	0.21
SlFM1086	40	30	462.1879					7.06	462.1	281.8	147.0, 281.8, 443.9, 118.9, 146.1				1.43	1.66	1.24	1.32	0.86
SlFM1088	60	30						1.31	463.1	222.9	222.9, 364.7, 266.8, 286.7, 402.7, 342.7 				0.92	1.09	0.96	0.85	0.22
SlFM1090	40	20	464.2124					7.22	464.1	85	85.0, 97.0, 108.9, 126.9, 84.3, 105.0 				0.92	0.96	1.05	0.83	0.48
SlFM1091	40	40						10.4	464.1	184	184.0, 124.9, 86.0, 446.0, 104.4 				1.16	1.01	1.26	1.05	0.82
SlFM1092	50	50						7.22	465.1	85	85.0, 96.9, 108.9, 126.9, 98.0, 145.0 				0.9	0.91	0.99	0.83	0.49
SlFM1096	40	30						2.35	465.1	160	160				0.95	1.22	1.11	0.83	0.28
SlFM1100	40	40				C21H20O12	H+	8.01	465.1	302.7	302.7, 228.9, 256.9, 165.0, 153.0 	Quercetin-O-glucoside	putatively annotated	Flavonoid	0.76	0.77	0.69	0.74	0.41
SlFM1104	30	50	466.2635					10.4	466.1	81	81.0, 79.0, 95.0, 137.0, 80.4, 97.0 				0.77	0.96	0.65	0.68	0.71
SlFM1106	60	30	466.1827					6.21	466.1	303.8	303.9, 448.0, 160.0, 163.0, 286.0, 192.0 				1.05	0.96	0.97	0.84	0.63
SlFM1107	-20	-20				C21H22O12	H-	6.86	465	285	285.1, 153.0, 177.1, 150.9, 241.1, 303.1 	Taxifolin O-glucoside	putatively annotated	Flavonoid	1.82	0.98	1.55	1.69	0.59
SlFM1113	50	30						7.11	470.1	205	204.9, 221.9, 146.9, 307.9, 162.0, 451.9 				2.61	1.52	2.2	0.93	0.86
SlFM1114	60	40					H+	4.93	471	163	162.9, 251.8, 287.8, 308.8, 120.0 	N', N''-Dicaffeoylspermidine	putatively annotated	Polyamine	1.51	1.14	1.05	1.46	0.85
SlFM1121	30	30	473.1972					8.55	473.1	207	207.0, 95.0, 149.0, 189.0, 161.0, 165.0 				0.43	0.49	0.52	0.36	0.59
SlFM1122	40	30	473.1985				H+	9.05	473	207	207.0, 123.0, 225.0, 85.0, 189.1, 147.1 	N', N''-p-hydroxybenxoyl,sinapoylcadaverine	putatively annotated	Polyamine	0.47	0.93	0.54	0.38	0.56
SlFM1124	-40	-60						11	472.1	58.9	58.9, 191.1, 153.1, 271.1, 254.5, 169.2 				0.5	0.75	0.56	0.44	0.34
SlFM1126	40	20	474.1737					6.73	474.1	176.9	177.0, 145.1, 311.8, 117.0, 176.1, 149.1 				0.98	1.18	1.2	0.82	0.83
SlFM1127	50	30	474.2242					2.34	474.1	187	187				1.09	1.17	1.07	1.03	0.49
SlFM1129	30	30	474.3553					10.9	474.1	191	191.0, 133.0, 137.0, 173.0, 107.0, 149.1 				0.48	0.44	0.52	0.44	0.14
SlFM1130	-60	-40						5.77	472.1	191.1	191.1, 193.0, 385.1, 236.0, 404.2 				2.41	2.02	2.33	0.98	0.63
SlFM1131	40	30	474.2589					5.27	474.1	222.1	222.0, 165.1, 122.9, 236.1, 221.0 				2.24	1.39	4.47	1.69	0.58
SlFM1132	50	40	474.3576					7.98	474.1	273	414.1, 273.0, 161.1, 255.0, 145.0 				1.37	0.85	1.05	1.41	0.94
SlFM1133	40	30	474.3558					9.48	474.1	273.2	414.1, 273.0, 161.1, 255.0, 385.0 				3.43	2.58	2.39	4.25	0.94
SlFM1135	50	40	474.1732	474.1732	0.06	C20H23N7O7	H+	5.92	474.2	327	194.9, 222.0, 344.8, 120.0, 326.8 	10-Formyl-THF	putatively annotated	Amino acid derivative	0.5	0.44	0.41	0.46	0.49
SlFM1136	40	50	474.3553					9.49	474.1	414.1	414.1, 273.1, 161.1, 255.1, 396.2 				3.22	3.12	2.3	3.93	0.92
SlFM1137	-40	-40						8.35	473.1	163.1	163.1, 429.1, 387.1, 369.1, 166.0, 193.1 				4.03	1.39	1.66	1.43	0.46
SlFM1139	50	30	475.2395					4.76	475.1	247	246.9, 201.0, 183.0, 229.0, 148.0 				0.74	0.86	0.75	0.68	0.75
SlFM1140	40	40						1.35	475.1	278.7	278.7, 376.6, 136.8, 294.7, 234.9, 392.6 				1	0.96	1.01	0.95	0.3
SlFM1141	50	30	475.2857					12	475.1	295	295.0, 277.0, 312.9, 163.1, 279.0, 151.1 				1.01	1.24	0.91	0.98	0.84
SlFM1142	40	20						9.48	475.1	415	415.1, 274.1, 161.2, 162.2, 256.1 				3.34	2.39	2.35	4.06	0.95
SlFM1145	40	30						4.7	476.1	148	148				0.62	0.51	0.62	0.59	0.55
SlFM1146	40	30						5.9	476.1	148	148				1.58	1.59	1.82	1.47	0.54
SlFM1150	40	40	476.1948					8.45	476.1	313.8	177.0, 313.8, 145.1, 121.0, 117.0, 176.1 				1.26	0.6	1.18	1.16	0.9
SlFM1153	-40	-20						11.9	475.1	271.1	271.1, 151.0, 295.1, 313.0, 415.1, 227.1 				5.52	2.92	3.37	3	0.72
SlFM1155	20	20						1.31	477.1	280.7	280.7, 278.7, 378.7, 236.8, 136.8, 234.8 				0.93	0.88	0.96	0.89	0.31
SlFM1156	50	20	477.4471			C23H24O11	H+	8.46	477.4	315	314.8, 176.9, 178.0, 313.8, 144.9, 146.0 	Irisolidone 7-O-beta-d-glucoside	putatively annotated	Flavonoid	1.33	0.84	1.16	1.17	0.88
SlFM1157	40	20					H+	8.45	477.1	315.2	314.8, 177.0, 178.0, 313.8, 145.0	3,7-Dimethoxykaempferol-C-glucoside	putatively annotated	Flavonoid	1.29	1.18	1.14	1.16	0.89
SlFM1160	-50	-30						11.8	476.2	272.1	272.1, 271.1, 150.9, 314.1, 416.1, 254.1 				5.73	3.17	2.83	3.67	0.69
SlFM1161	40	30						2.9	479.1	203	203.0, 114.9, 153.0, 157.0, 424.8, 339.8 				3	2.04	3.35	2.79	0.56
SlFM1162	-60	-30						10.7	477.1	273.1	273.1, 271.1, 272.1, 315.1, 151.0, 161.1 				3.3	1.45	2.05	2.42	0.88
SlFM1163	50	30	479.1182	479.1184	0.58	C22H22O12	H+	7.45	479.1	317.1	316.8, 192.0, 288.9, 194.0, 256.9 	Selgin 5-O-hexoside	putatively annotated	Flavonoid	0.65	0.81	0.74	0.55	0.8
SlFM1171	-40	-20						10.5	479.1	435.1	435.2, 317.2, 419.2, 393.1, 284.0, 461.3 				0.58	0.62	0.46	0.47	0.48
SlFM1173	60	30						6.33	482.1	158	158.0, 140.0, 319.8, 136.0, 163.0 				1.93	2.74	1.24	1.19	0.89
SlFM1178	60	40					H+	5.38	485	163	176.9, 144.0, 145.0, 322.8, 163.0 	N', N''-Feruloyl,caffeoylspermidine	putatively annotated	Polyamine	2.08	1.07	1.76	2.14	0.72
SlFM1179	50	30	486.2562					4.65	486.1	215	215.0, 84.0, 69.9, 115.0, 181.0 				1.34	1.08	1.3	1.24	0.86
SlFM1180	60	30						11.4	486.1	323.8	323.8, 305.9, 151.0, 179.0, 69.9 				1.26	1.76	1.28	1.14	0.86
SlFM1183	50	10						1.65	487.1	111.9	111.9				1.14	1.17	1.17	1.09	0.52
SlFM1185	40	30	487.2589					5.58	487.1	173	173.0, 156.0, 110.0, 136.0, 201.0 				1.07	0.64	1.3	0.96	0.24
SlFM1186	30	50	487.262					6.84	487.1	191	191.0, 324.8, 306.8, 163.0, 175.0, 173.0 				0.55	0.5	0.54	0.55	0.39
SlFM1187	60	30	487.2066					8.4	487.1	211.9	211.9, 194.0, 357.8, 166.0, 237.9				3.35	0.96	1.59	3.58	0.86
SlFM1188	40	30						1.65	488.1	111.9	112.0, 112.9, 130.0, 111.1, 83.9, 146.0 				1.06	1.04	1.1	0.98	0.54
SlFM1189	50	60						6.17	488.1	137	137.0, 307.8, 162.0, 179.0, 151.0, 181.0 				0.91	0.61	0.98	0.92	0.79
SlFM1191	20	50						1.65	489.1	129.9	129.9, 147.0, 112.0, 83.9, 112.9				1.55	1.24	1.39	1.52	0.5
SlFM1194	-50	-40						1.04	487.1	201.1	344.0, 201.1, 343.1, 202.0, 345.0, 157.1 				0.99	1.02	0.91	0.85	0.14
SlFM1195	50	30	489.2562					5.75	489.1	261	260.9, 201.0, 173.0, 234.8, 244.9, 162.9 				0.8	0.84	0.74	0.75	0.81
SlFM1198	20	30						1.44	491.1	212.6	212.7, 344.5, 202.7, 343.6, 284.6, 222.8 				1.21	1.25	1.29	1.14	0.53
SlFM1200	60	30						8.17	491.1	431	431.1, 413.1, 161.1, 274.1, 256.1, 162.1 				1.66	1.02	1.45	1.79	0.92
SlFM1203	60	60					H+	2.26	492	121	120.0, 166.0, 121.0, 119.2, 167.0 	N', N'',N'''-Tri-p-hydroxybenxoylagmatine	putatively annotated	Polyamine	0.83	0.77	0.88	0.81	0.52
SlFM1204	-60	-50						10	491.1	151	151.0, 287.1, 134.9, 175.1, 243.1, 267.1 				2.98	1.57	3.05	1.86	0.86
SlFM1208	60	20	493.1339	493.1341	0.31	C23H24O12	H+	8.49	493.1	331.1	330.9, 165.0, 312.9, 474.9, 276.9 	Tricin 5-O-hexoside	putatively annotated	Flavonoid	2.47	0.74	1.11	2.95	0.63
SlFM1209	40	30	493.1339	493.1341	0.31	C23H24O12	H+	9.52	493.1	331.2	330.9, 165.0, 312.9, 474.9, 276.9 	Tricin 7-O-hexoside	putatively annotated	Flavonoid	0.77	0.98	0.73	0.76	0.42
SlFM1212	30	60						5.31	495.1	146	187.9, 146.1, 129.0, 204.9, 144.2, 145.3 				0.89	0.79	0.83	0.91	0.19
SlFM1216	40	40	497.1785					4.99	497.1	172	172.0, 173.0, 334.8, 333.8, 144.1 				0.77	0.41	0.77	0.8	0.76
SlFM1221	40	30	498.2608			C27H35N3O6	H+	7.4	498.2	177.2	177.0, 335.8, 254.9, 145.0, 120.0 	N', N''-Diferuloylspermidine	putatively annotated	Polyamine	1.61	2.27	1.44	1.35	0.34
SlFM1227	20	60						5.31	499.1	146.1	187.9, 146.1, 205.0, 144.1, 159.1, 118.0 				0.84	0.75	0.84	0.8	0.33
SlFM1233	40	20						1.08	499.1	438.7	438.7, 382.7, 456.7, 340.7, 480.8, 396.7 				0.73	0.75	0.7	0.66	0.13
SlFM1234	40	30						9.98	500.1	165	165				0.72	0.58	0.8	0.65	0.49
SlFM1238	50	20						4.97	500.1	357.9	357.9				0.94	1.16	0.9	0.86	0.77
SlFM1241	40	20						1.04	501.1	440.8	440.7, 384.7, 342.7, 458.7, 282.8, 398.7 				0.73	0.74	0.69	0.66	0.11
SlFM1242	40	30						5.48	502.1	254	236.0, 254.0, 95.0, 112.0, 218.0 				1.27	1.11	0.94	1.27	0.84
SlFM1244	10	40						4.82	503.1	144	144.0, 143.1, 179.0, 258.9, 322.8 				0.95	0.99	1.06	0.9	0.43
SlFM1245	-30	-50						9.44	501.1	164.1	164.1, 206.1, 147.0, 357.1, 301.1, 96.9 				1.58	0.81	1.92	1.59	0.52
SlFM1249	40	40						2.26	504.1	165	136.0, 165.0, 118.9, 147.0, 182.0, 122.9 				2.03	0.91	2.05	1.92	0.64
SlFM1250	60	40						8.83	504.1	273	444.0, 273.0, 161.1, 255.0, 147.0 				1.29	0.83	1.22	1.38	0.95
SlFM1251	-60	-20					H-	1.69	503.2	161	161	D-(+)-Cellotriose	putatively annotated	Saccharides	1.09	1.17	1.22	1.04	0.5
